budgets,revenues
"
Budget:$14,000,000
            (estimated)
","
Gross USA: $12,282,677, 22 March 2015
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $95,170,481
        "
"
Budget:$3,300,000
            (estimated)
","
Gross USA: $13,092,000
        "
"
Gross USA: $1,035,953, 4 May 2012
","
  Show more on
  IMDbPro »
  "
"
Color:
Color
","
Trivia
    The film's production went through much trial and error due to the crew's lack of experience of filming at sea, and both crew members and actors suffered severe seasickness during filming.        See more  »
    "
"
Gross USA: $3,261,638
        ","
Production Co:
 Filmation Associates, Hoyts Distribution 
See more »
      
"
"
Budget:$14,000,000
            (estimated)
","
Gross USA: $49,130,154
        "
"
Production Co:
 Noujaim Films 
See more »
      
","
Runtime:
57 min
            (TV)
    "
"
Gross USA: $33,609,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $2,112,140,
20 April 2003, Limited Release
","
Production Co:
 Castle Rock Entertainment 
See more »
      
"
"
Budget:$960,000
            (estimated)
","
Gross USA: $117,235,247
        "
"
Production Co:
 Twentieth Century Fox, Interscope Communications, Amercent Films 
See more »
      
","
Runtime:
88 min
"
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $130,096,601
        "
"
Budget:$53,000,000
            (estimated)
","
Gross USA: $56,046,979
        "
"
Budget:$102,000,000
            (estimated)
","
Gross USA: $132,072,926
        "
"
Opening Weekend: €30,193
            (Serbia),
14 October 2010
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $16,167,662,
21 August 2005, Wide Release
","
Cumulative Worldwide Gross: $37,685,971
        "
"
Opening Weekend USA: $27,136,
3 January 2014, Limited Release
","
Cumulative Worldwide Gross: $3,982,449
        "
"
Opening Weekend: £677,716
            (United Kingdom),
20 March 2011, Limited Release
","
Gross USA: $1,201, 23 October 2011
"
"
Budget:$32,000,000
            (estimated)
","
Opening Weekend USA: $20,104,608,
4 September 2005, Wide Release
"
"
Opening Weekend USA: $20,154,919,
5 April 1998, Wide Release
","
Cumulative Worldwide Gross: $136,159,423
        "
"
Opening Weekend USA: $9,406,522,
15 August 1982
","
Production Co:
 Paramount Pictures, Georgetown Productions Inc., Jason Productions 
See more »
      
"
"
Opening Weekend USA: $36,402,
7 October 2012, Limited Release
","
Production Co:
 8383 Productions, Bloody Disgusting, Studio71 
See more »
      
"
"
Gross USA: $17,011, 11 September 2011
","
  Show more on
  IMDbPro »
  "
